id;nombre;primer_apellido;segindo_apellido;ci;latitud;longitud;direccion;categoria;telefono;zona
1;outlaw;woozy;what unto;exhume breakable;18482.29;1348.5;meanwhile rusty always;meh shakily whenever;yowza empty;multiply
2;after yet skylight;failing darling qua;mmm outside urge;psst dazzle bluster;19564.84;32421.49;corny rehospitalisation;cheer seemingly optimistic;whereas stark;enormously
3;pointed excluding;tomatillo sesame soul;toward er;sniveling blah worth;15692.61;32134.05;beneath for;teaching whoever concerning;qua;madly
4;although;whether;sadly;daily blah fondly;11600.54;19364.15;elegantly interrogate;yahoo;repeatedly;unlearn gadzooks
5;beneath or radio;open;broil;cheek;29039.08;16646.19;likewise;why;irritably;if
6;pail;willfully palliate;gah outgoing even;cruelly;14297.23;31270.92;unto;kitsch;whenever scene bulk;likable
7;except since ah;puzzling fantasy;briskly;frank irritably soulful;28097.72;22771.1;knottily so stair;council young softball;fooey before;apud
8;pfft;supposing overconfidently;lest doorpost;unfortunately;27660.86;4240.96;meanwhile gadzooks;psst wall um;huzzah;meh meanwhile refurbish
9;discovery rethinking checkout;peen;used sermon remodel;furthermore admin;7952.41;30506.25;molder forked;hmph brake eyeglasses;ick whoa who;uh-huh vice
10;disembark fav;assemble;on hastily absent;unhappy modulo;15392.17;10688.1;arrogantly;institute;cruelly gee lovingly;zoom tout carotene
